Nombre,Precio,Rating,URL
Zapatillas Skater Oversize Negras,$53.466,Sin rating,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=IpgTtVWC1tl5Xrk9Xd5%2F2mjcFEGt3guIxs1whdBdkPutSEDb%2BXeAqX0nHcvH%2FcJbcXI3nsb4bgelhhHSDf9bsBi6PV82%2B08frQr0zULjfAMrWOE8uW%2BRZGKQNNmJ%2BRoxfXkn7%2Bn34L3y3Ybzq8hiEev3DEkd6Nm9C8WYO%2BhwUdyb%2BWrcQLzRQ3zkz05dBmiaxlGfHlQRil7Ed%2FWCBAl5sJFyVbwnLNk1kFz4n7bRJucpjRuYQvMy5o2rU8m84NOgMaPKmlQwLFEgQRfm78BX13xqGGhsbhxQgfwYtb3SamLZnUrK1o%2BnUdC14b9E81au0Io2%2FVvsGIUD9dre1bdBKehhVD3F%2Bf40WSvbHgdBk65NZA%2FVwUCXPPOJfawd%2BCb03s6gFkVt6Gy2KX7oAKSFpqtBLVYLqbdDZSLMhzsopzELcgNI7enzJ8uJDQ6YAItreTSPGRIwUlGjjdWtMrvLQB4UfBot38jNIrcyBsDV2nJJAUD5z8gA5ZZMnUvK%2BBegf0uPIWA6%2BNFCb6iR2XLfuzw4Ngn8NXx6KsHtENFaEcF0ouFQOTbP3zMdZkA0nE%2FJQkqiVasN6s555B59slxKBfy%2FL8Usn2pU29zqan7kK2FQh4HxDrvZVxt7zXrJxWeHzPdmV0DJg4%2F3%2F9C0GcGeUd3cxfV7qN5fmddHlRrgP45S8y8PICH4BZ2nnygX2GkBuUvikGbLbOkZ%2BH5vQzPiOHP%2Beq0BrHZ6Nmpoc0ZlJEbpfiXuG%2FsBB8fvN33BhZRRUJq3JGd7RHf0a2vkWPlYOPaVQTdTpUMMoQGmb7YZbRmg6iUG1s%2Fdhlg1aV8jYCtgwz8Om9ly1N%2BqcIOVCKH%2FPfg%2FOw%3D%3D&searchVariation=181382154156#polycard_client=search-nordic&tracking_id=f2bcb65e-431c-498e-96b1-f434cc4603df
Zapatillas Running Puma Skyrocket Lite Negra Solo Deportes,$84.000,Sin rating,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=xR%2FnwCYjVNAHMWVAFySn8g9BVGiWRf5lrI2AYRE6phiO9NP5%2Fxs%2Ft%2Bn3ZLKhuIjqBGVgoMdimwcMpp5BHEJoS68C8RwSGT8nvhc2y%2BB5uNyvgc8DShXPzc8c4WkE7A54T0clF6mBZptlyRvVlf3xIN99EscUSXHc13j5A4LXh4Td6n%2Bdi8vFpFeSLNzs%2F2MDslOAge%2FhRJQoZbkJyZKyhxyAmUoDe5EVWzz%2FQRXAyFhFJktK%2FTiaKomaJNTb58tjNQr%2BDr1gdiwm9GHjtNF65DN8wT3aniBmO%2BXttnfr5bh3Jl2La6CjHBgsenS6ViCh4dbiAHZ2JkSPDKqNZsAA6dWJnWuaDqmEL1oc1lknqT1ID%2FKM3p96W2he%2B2PYdOiCkNb1Ow5%2FaVl%2Fcd023JaXAKbormfntW6AM8aFR%2FVK3tEO8zbX4M5CYiRVDZHgRd4bUwf3nAtR1bmQcs935Voy3ibDExmShkv7Sv%2FJ03nrzyX9OK3IlwnCJXZwPRc4blThYvxjhAlgYsiwAd%2BOte4rB4Zdv7m07hezkdl7NptmO0dNUun5q7RH1NrfWz4JvvBHLD6rpuJwYChAwPvRfuYl8NqzUBhfX9212HE%2FEvdGPnJJlMM5HUzSXD%2F7kc9SY5tmcSOwp8q2dsiuLPy%2FE8d4PJVR52v1iQY5%2BDSBist7JDhpzaxmWo09k%2FS7IJ4Mt0opKDsrDZRH5WD3x3Vh%2BLc8WkfudWqmip8TY798Q2YokahYjsoAO0i6Pj5htPRujQluqKx2aKvW9Ujio%2BKZNBjHnynmymZQhP1qLN5IsTCiKvV5f9AgwRNGd3clavpj%2F69NwQ4%2BXKdPmy9TwDd72cyFf4a14NvhbRLIpOd8Qejj6AhCjDEJIns9t8Rh&searchVariation=180238359000#polycard_client=search-nordic&tracking_id=f2bcb65e-431c-498e-96b1-f434cc4603df
Zapatilla Flex Focus Lite Modern Puma,$64.999,Sin rating,https://articulo.mercadolibre.com.ar/MLA-1496041009-zapatilla-flex-focus-lite-modern-puma-_JM?searchVariation=187959256957#polycard_client=search-nordic&searchVariation=187959256957&position=9&search_layout=grid&type=item&tracking_id=f2bcb65e-431c-498e-96b1-f434cc4603df
Zapatillas Skater Oversize Negras,$53.466,Sin rating,https://articulo.mercadolibre.com.ar/MLA-1884722608-zapatillas-skater-oversize-negras-_JM?searchVariation=181382154156#polycard_client=search-nordic&searchVariation=181382154156&position=10&search_layout=grid&type=item&tracking_id=f2bcb65e-431c-498e-96b1-f434cc4603df
Zapatillas Running Puma Skyrocket Lite Negra Solo Deportes,$84.000,Sin rating,https://articulo.mercadolibre.com.ar/MLA-1419492651-zapatillas-running-puma-skyrocket-lite-negra-solo-deportes-_JM?searchVariation=180238359000#polycard_client=search-nordic&searchVariation=180238359000&position=11&search_layout=grid&type=item&tracking_id=f2bcb65e-431c-498e-96b1-f434cc4603df
Zapatillas Becca Deportivas Pierre Art.5761 - 36-43 Full,$59.999,Sin rating,https://articulo.mercadolibre.com.ar/MLA-1445536983-zapatillas-becca-deportivas-pierre-art5761-36-43-full-_JM?searchVariation=184480139147#polycard_client=search-nordic&searchVariation=184480139147&position=12&search_layout=grid&type=item&tracking_id=f2bcb65e-431c-498e-96b1-f434cc4603df
Zapatillas Urbanas Fargo Mujer Vegan,$78.328,Sin rating,https://articulo.mercadolibre.com.ar/MLA-2013416126-zapatillas-urbanas-fargo-mujer-vegan-_JM?searchVariation=186915290271#polycard_client=search-nordic&searchVariation=186915290271&position=13&search_layout=grid&type=item&tracking_id=f2bcb65e-431c-498e-96b1-f434cc4603df
Zapatillas Hombre Deportivas Nami Livianas Comodas Urbana,$38.639,Sin rating,https://articulo.mercadolibre.com.ar/MLA-1453328816-zapatillas-hombre-deportivas-nami-livianas-comodas-urbana-_JM?searchVariation=179083952039#polycard_client=search-nordic&searchVariation=179083952039&position=14&search_layout=grid&type=item&tracking_id=f2bcb65e-431c-498e-96b1-f434cc4603df
Zapatillas Puma Skyrocket Lite Mujer Negra 2 Solo Deportes,$84.000,Sin rating,https://articulo.mercadolibre.com.ar/MLA-1416700227-zapatillas-puma-skyrocket-lite-mujer-negra-2-solo-deportes-_JM?searchVariation=182179803653#polycard_client=search-nordic&searchVariation=182179803653&position=15&search_layout=grid&type=item&tracking_id=f2bcb65e-431c-498e-96b1-f434cc4603df
Zapatillas Galaxy 6 Ie8135 adidas,$55.999,Sin rating,https://articulo.mercadolibre.com.ar/MLA-2050311840-zapatillas-galaxy-6-ie8135-adidas-_JM?searchVariation=187504340911#polycard_client=search-nordic&searchVariation=187504340911&position=16&search_layout=grid&type=item&tracking_id=f2bcb65e-431c-498e-96b1-f434cc4603df
